t,rhythmicity
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0008067263977795211
11.0,0.0009247559237596232
12.0,0.0009681786135798747
13.0,0.0016022737673538185
14.0,0.0922267209598614
15.0,0.10124214499009498
16.0,0.10663986605532073
17.0,0.10663986605532073
18.0,0.10663986605532073
19.0,0.08998239601783357
20.0,0.07301022615536405
21.0,0.07301022615536405
22.0,0.07301022615536405
23.0,0.12160557932992068
24.0,0.13820892556535586
25.0,0.13820892556535586
26.0,0.14739675505573777
27.0,0.16246572919438004
28.0,0.14739675505573777
29.0,0.09731860544687382
30.0,0.1001500697557973
31.0,0.09611281847737495
32.0,0.09611281847737495
33.0,0.1001500697557973
34.0,0.10928130565228929
35.0,0.21535073198347457
36.0,0.22116663156132974
37.0,0.22461259704762646
38.0,0.22116663156132974
39.0,0.4160575789433906
40.0,0.441943309187051
41.0,0.441943309187051
42.0,0.21347349999367002
43.0,0.21347349999367002
44.0,0.1323142543517036
45.0,0.11705526877127516
46.0,0.11705526877127516
47.0,0.11705526877127516
48.0,0.15455560588579584
49.0,0.18296703854293653
50.0,0.2585907666578029
51.0,0.2585907666578029
52.0,0.2585907666578029
53.0,0.2585907666578029
54.0,0.21858887036945385
55.0,0.2126914762649685
56.0,0.1214684182818535
57.0,0.0740937219083737
58.0,0.06351570425253085
59.0,0.060200411377331106
60.0,0.060200411377331106
61.0,0.060200411377331106
62.0,0.09553816498627622
63.0,0.09553816498627622
64.0,0.09553816498627622
65.0,0.09516561213310147
66.0,0.09516561213310147
67.0,0.09516561213310147
68.0,0.12726660137155527
69.0,0.1721244062706904
70.0,0.21591559693702256
71.0,0.24499238659196818
72.0,0.24499238659196818
73.0,0.24499238659196818
74.0,0.25755159942592276
75.0,0.2849092368483823
76.0,0.2849092368483823
77.0,0.2849092368483823
78.0,0.3066367369505629
79.0,0.3066367369505629
80.0,0.2803488039061395
81.0,0.26469031628802303
82.0,0.2593083975658745
83.0,0.2535726092518126
84.0,0.25173829176541784
85.0,0.25173829176541784
86.0,0.21079165829192428
87.0,0.1946108314395676
88.0,0.1946108314395676
89.0,0.1946108314395676
90.0,0.2161366146000106
91.0,0.2689232095849374
92.0,0.2753856772700212
93.0,0.27598881246916873
94.0,0.27598881246916873
95.0,0.36007609619841413
96.0,0.4371865543399037
97.0,0.46258716356363117
98.0,0.4755370505462235
99.0,0.4755370505462235
100.0,0.4653201848157587
101.0,0.4653201848157587
102.0,0.4653201848157587
103.0,0.4653201848157587
104.0,0.4824694031773465
105.0,0.4874828881989328
106.0,0.49394532859056456
107.0,0.5838515644951849
108.0,0.6649000972422844
109.0,0.7526438554126252
110.0,0.7638307266307109
111.0,0.7638307266307109
112.0,0.7526438554126252
113.0,0.7239770262661087
114.0,0.7209321661868613
115.0,0.6603138096459455
116.0,0.6603138096459455
117.0,0.6603138096459455
118.0,0.6516774356813009
119.0,0.6870852514230676
120.0,0.6870852514230676
121.0,0.6873162737917838
122.0,0.7501548552778246
123.0,0.8725576352052232
124.0,0.7501548552778246
125.0,0.7501548552778246
126.0,0.4628177458682904
127.0,0.3709118391766676
128.0,0.3709118391766676
129.0,0.3709118391766676
130.0,0.3709118391766676
131.0,0.3709118391766676
132.0,0.3586647597175692
133.0,0.3586647597175692
134.0,0.3586647597175692
135.0,0.4653330478164827
136.0,0.5691182638934495
137.0,0.5691182638934495
138.0,0.6040131554650912
139.0,0.5698606946404449
140.0,0.5698606946404449
141.0,0.6040131554650912
142.0,0.948222681616105
143.0,0.948222681616105
144.0,0.948222681616105
145.0,0.7800608236269474
146.0,0.46474568647400766
147.0,0.46474568647400766
